property_size_sqft,bedrooms,bathrooms,floors,age_of_property,distance_to_city_center,school_rating,crime_rate_index,price
1260,2,1,1,9,27.02,8,79.6,186290
4172,6,1,1,47,5.7,1,37.3,371286
3492,2,3,1,27,7.28,3,29.52,1045442
866,5,3,1,4,16.15,4,51.61,871990
4826,1,3,1,27,2.05,8,4.98,992774
3844,2,4,1,43,28.39,7,35.39,756788
3571,6,3,1,30,11.18,5,13.53,1106933
3319,6,2,1,15,14.93,7,25.35,1084564
530,4,1,1,22,3.6,2,39.07,1257805
2085,6,2,2,28,1.46,7,5.8,547396
1169,1,1,2,46,14.3,1,79.72,1154934
2791,6,1,2,20,4.09,6,27.47,1840364
2833,5,2,1,1,19.09,8,23.28,1330511
1584,3,2,1,22,23.94,7,34.36,147101
4955,5,4,1,15,1.43,5,36.78,744940
3785,7,1,2,10,18.56,3,81.27,1336252
4517,5,3,1,8,24.56,7,28.48,1494710
3304,1,4,2,1,13.46,9,46.05,1786421
874,1,3,2,17,28.81,10,49.82,1005830
1482,4,4,1,12,3.78,7,30.56,606238
2958,6,1,2,44,10.03,1,78.33,1230731
2447,4,2,1,7,7.29,10,62.4,1692985
3147,1,2,2,9,29.89,7,72.1,439371
1375,6,1,1,26,9.18,10,5.46,1016849
2206,1,2,1,16,11.94,2,81.95,1905491
589,1,1,1,23,25.5,7,24.04,1561955
3134,3,1,1,20,27.93,5,9.18,289461
3405,5,1,1,0,28.16,6,66.1,1438466
2299,4,4,2,15,16.97,6,21.8,1723937
1667,4,2,1,42,20.07,10,40.65,448569
1928,2,4,1,32,10.8,3,70.79,458773
3602,7,3,2,5,18.41,9,10.27,1799558
3956,3,1,2,11,9.43,3,12.77,1444221
4290,1,2,1,31,22.51,2,66.49,1711998
1046,1,3,2,47,9.56,2,44.96,484773
3288,3,1,1,10,26.44,7,22.12,917403
2835,6,3,1,17,4.73,7,51.58,87189
1000,4,4,1,1,17.37,2,61.86,1136349
2763,1,4,2,31,15.86,4,40.51,1744929
2461,7,2,1,48,8.28,5,17.29,758566
641,2,3,1,48,1.33,2,64.75,1917219
2441,4,3,1,19,4.88,8,12.12,153890
3224,5,4,1,20,29.05,6,65.35,733396
3012,7,4,1,35,28.27,5,27.08,1003119
1763,3,2,1,37,4.02,8,0.14,1975497
1878,4,1,1,26,11.56,6,46.58,447145
2956,5,2,2,46,14.22,9,31.0,1122368
1175,2,4,1,10,14.6,7,22.94,1668601
4414,6,2,1,17,9.32,8,49.85,1291075
434,3,1,1,16,27.43,10,33.66,573175
3552,6,4,2,33,27.3,7,29.5,1049262
2355,7,1,2,44,1.06,7,76.26,1332037
1985,1,2,1,25,19.68,8,8.3,361699
4343,6,1,1,5,2.69,6,39.79,1236604
3473,1,4,2,42,18.13,10,24.68,1487323
1421,7,4,1,29,26.07,4,28.54,1696504
3861,5,1,1,38,19.66,9,44.19,1098817
3013,4,2,1,49,14.33,8,92.27,933949
4243,2,2,1,31,28.76,4,65.92,1845209
1900,5,2,2,16,22.52,3,19.31,407236
561,2,2,1,12,7.85,9,57.24,1957177
4697,6,3,2,45,11.91,5,15.38,1195217
2381,2,3,1,40,22.92,8,88.53,247559
